REARING_NUMBER;taxon;name;value
200025F-JOproxi;Bracon discoideus;Endo/Ecto;Ectoparasitism
198360Y-T1Obridg;Bracon discoideus;Endo/Ecto;Ectoparasitism
198369A-71V1Ovaria;Bracon discoideus;Endo/Ecto;Ectoparasitism
199943A-V1Oproxi;Bracon discoideus;Endo/Ecto;Ectoparasitism
198359A-K1Ovesic;Bracon discoideus;Endo/Ecto;Ectoparasitism
198234A-35V1Ovesic;Bracon discoideus;Endo/Ecto;Ectoparasitism
198209A-14V1Ovesic;Bracon discoideus;Endo/Ecto;Ectoparasitism
198363A-V1Oproxi;Bracon discoideus;Endo/Ecto;Ectoparasitism
198278K1-79Oproxi;Bracon discoideus;Endo/Ecto;Ectoparasitism
198351A-ZOfoeti;Bracon discoideus;Endo/Ecto;Ectoparasitism
199901Y-V1Ovesic;Bracon discoideus;Endo/Ecto;Ectoparasitism
198222A-V1Obella;Bracon discoideus;Endo/Ecto;Ectoparasitism
198349A-50V1Ovesic;Bracon discoideus;Endo/Ecto;Ectoparasitism
198365A-68V1Oproxi;Bracon discoideus;Endo/Ecto;Ectoparasitism
198362A-V1Oproxi;Bracon discoideus;Endo/Ecto;Ectoparasitism
199948A-F1Oproxi;Bracon discoideus;Endo/Ecto;Ectoparasitism
199945A-F1Oproxi;Bracon discoideus;Endo/Ecto;Ectoparasitism
198223A-V1Oproxi;Bracon discoideus;Endo/Ecto;Ectoparasitism
198274A-75V1Oproxi;Bracon discoideus;Endo/Ecto;Ectoparasitism
198206J-V1Ovesic;Bracon discoideus;Endo/Ecto;Ectoparasitism
198237A-V1Oproxi;Bracon discoideus;Endo/Ecto;Ectoparasitism
199946T-XOproxi;Bracon discoideus;Endo/Ecto;Ectoparasitism
199404W-D1Oadaph;Bracon epitriptus;Endo/Ecto;Ectoparasitism
199415A1-16MOvesic;Bracon epitriptus;Endo/Ecto;Ectoparasitism
199901Y-V1Ovesic;Bracon epitriptus;Endo/Ecto;Ectoparasitism
200307A-DOgalla;Bracon epitriptus;Endo/Ecto;Ectoparasitism
198710A-V1Ovesic;Bracon epitriptus;Endo/Ecto;Ectoparasitism
200026A1-F1Okriec;Bracon epitriptus;Endo/Ecto;Ectoparasitism
200025E1-F1Ovimin;Bracon epitriptus;Endo/Ecto;Ectoparasitism
200028A1-P1Ovimin;Bracon epitriptus;Endo/Ecto;Ectoparasitism
198878A-V1Obella;Bracon epitriptus;Endo/Ecto;Ectoparasitism
200025A1-C1Ovimin;Bracon epitriptus;Endo/Ecto;Ectoparasitism
199111H1-V1Oobscu;Bracon epitriptus;Endo/Ecto;Ectoparasitism
199903U-Z/10A-V1Ovimin;Bracon epitriptus;Endo/Ecto;Ectoparasitism
199117A-C1Onival;Bracon epitriptus;Endo/Ecto;Ectoparasitism
198711A-ZOvimin;Bracon epitriptus;Endo/Ecto;Ectoparasitism
200202A-YOproxi;Bracon immutator;Endo/Ecto;Ectoparasitism
200014A-NEnigri;Bracon immutator;Endo/Ecto;Ectoparasitism
200042L1-V1Obrevi;Bracon immutator;Endo/Ecto;Ectoparasitism
200510P1-V1Opprox;Bracon immutator;Endo/Ecto;Ectoparasitism
200061O-J1Oproxi;Bracon immutator;Endo/Ecto;Ectoparasitism
200023A-OOproxi;Bracon immutator;Endo/Ecto;Ectoparasitism
200204A1-5GOproxi;Bracon immutator;Endo/Ecto;Ectoparasitism
200511A-JOpprox;Bracon immutator;Endo/Ecto;Ectoparasitism
198222A-V1Obella;Bracon intercessor;Endo/Ecto;Ectoparasitism
198240A-V1Onigri;Bracon intercessor;Endo/Ecto;Ectoparasitism
198570M-ZObella;Bracon intercessor;Endo/Ecto;Ectoparasitism
198234A-35V1Ovesic;Bracon intercessor;Endo/Ecto;Ectoparasitism
198572M-J1Ovesic;Bracon intercessor;Endo/Ecto;Ectoparasitism
199109T-V1Ofoeti;Bracon intercessor;Endo/Ecto;Ectoparasitism
198236A-V1Ovimin;Bracon intercessor;Endo/Ecto;Ectoparasitism
200025E1-F1Ovimin;Bracon intercessor;Endo/Ecto;Ectoparasitism
198573A-75Oadaph;Bracon intercessor;Endo/Ecto;Ectoparasitism
198221A-V1Ovimin;Bracon intercessor;Endo/Ecto;Ectoparasitism
198220A1-V1Obridg;Bracon intercessor;Endo/Ecto;Ectoparasitism
198209A-14V1Ovesic;Bracon intercessor;Endo/Ecto;Ectoparasitism
198570A1-71G1Okriec;Bracon intercessor;Endo/Ecto;Ectoparasitism
198206A-IOvesic;Bracon intercessor;Endo/Ecto;Ectoparasitism
198206J-V1Ovesic;Bracon intercessor;Endo/Ecto;Ectoparasitism
198340A-41V1Oretic;Bracon kopelkei;Endo/Ecto;Ectoparasitism
199019A-22ZOherba;Bracon kopelkei;Endo/Ecto;Ectoparasitism
200041S1-V1Obrevi;Bracon kopelkei;Endo/Ecto;Ectoparasitism
200045G-VOvaria;Bracon kopelkei;Endo/Ecto;Ectoparasitism
199732H-TOglauc;Bracon kopelkei;Endo/Ecto;Ectoparasitism
200039S-XObrevi;Bracon kopelkei;Endo/Ecto;Ectoparasitism
200061A-MOproxi;Bracon kopelkei;Endo/Ecto;Ectoparasitism
199728T-29FOherba;Bracon kopelkei;Endo/Ecto;Ectoparasitism
200044U-C1Ovaria;Bracon kopelkei;Endo/Ecto;Ectoparasitism
199111H1-V1Oobscu;Bracon kopelkei;Endo/Ecto;Ectoparasitism
200030A1-T1Obridg;Bracon kopelkei;Endo/Ecto;Ectoparasitism
200044E1-O1Ovaria;Bracon kopelkei;Endo/Ecto;Ectoparasitism
200101A-Q1Oherba;Bracon kopelkei;Endo/Ecto;Ectoparasitism
200045J1-46I1Oretic;Bracon kopelkei;Endo/Ecto;Ectoparasitism
199706A-S1Oherba;Bracon kopelkei;Endo/Ecto;Ectoparasitism
200040Q-K1Ofoeti;Bracon kopelkei;Endo/Ecto;Ectoparasitism
200511A-JOpprox;Bracon kopelkei;Endo/Ecto;Ectoparasitism
200045A-EOvaria;Bracon kopelkei;Endo/Ecto;Ectoparasitism
200043I-QObrevi;Bracon kopelkei;Endo/Ecto;Ectoparasitism
200034I-VOobscu;Bracon kopelkei;Endo/Ecto;Ectoparasitism
199031J-32V1Oherba;Bracon kopelkei;Endo/Ecto;Ectoparasitism
200042A-J1Obrevi;Bracon kopelkei;Endo/Ecto;Ectoparasitism
199703T-Z+32H-TOglauc;Bracon kopelkei;Endo/Ecto;Ectoparasitism
200046K1-47WOretic;Bracon kopelkei;Endo/Ecto;Ectoparasitism
199432A-VOvimin;Bracon lividus;Endo/Ecto;Ectoparasitism
199415A1-16MOvesic;Bracon lividus;Endo/Ecto;Ectoparasitism
199935K-YObrevi;Bracon obscurator;Endo/Ecto;Ectoparasitism
199932P1-33ROvaria;Bracon obscurator;Endo/Ecto;Ectoparasitism
199928I-30ZOvaria;Bracon obscurator;Endo/Ecto;Ectoparasitism
199926A-27NOkriec;Bracon picticornis;Endo/Ecto;Ectoparasitism
199903U-Z/10A-V1Ovimin;Bracon picticornis;Endo/Ecto;Ectoparasitism
199106A-J1Ovaria;Bracon picticornis;Endo/Ecto;Ectoparasitism
199923A-GOvimin;Bracon picticornis;Endo/Ecto;Ectoparasitism
198206J-V1Ovesic;Bracon picticornis;Endo/Ecto;Ectoparasitism
