"original_name";"name_clear"
"Discus ruderatus";"Discus ruderatus"
"Apion cruentatum";"Apion cruentatum"
"Apion frumentarium";"Apion frumentarium"
"Cerapion onopordi";"Cerapion onopordi"
"Holotrichapion aethiops";"Holotrichapion aethiops"
"Apion pisi";"Apion pisi"
"Apion violaceum";"Apion violaceum"
"Eutrichapion punctigerum";"Eutrichapion punctigerum"
"Simplocaria semistriata";"Simplocaria semistriata"
"Diachromus germanus";"Diachromus germanus"
"Baris lepidii";"Baris lepidii"
"Ceutorhynchus floralis";"Ceutorhynchus floralis"
"Coryssomerus capucinus";"Coryssomerus capucinus"
"Eusomus ovulum";"Eusomus ovulum"
"Glocianus punctiger";"Glocianus punctiger"
"Alophus triguttatus";"Alophus triguttatus"
"Hypera meles";"Hypera meles"
"Hypera nigrirostris";"Hypera nigrirostris"
"Hypera plantaginis";"Hypera plantaginis"
"Hypera postica";"Hypera postica"
"Hypera suspiciosa";"Hypera suspiciosa"
"Hypera venusta";"Hypera venusta"
"Hypera zoilus";"Hypera zoilus"
"Limobius borealis";"Limobius borealis"
"Mecinus collaris";"Mecinus collaris"
"Mecinus pyraster";"Mecinus pyraster"
"Rhinoncus castor";"Rhinoncus castor"
"Rhinoncus pericarpius";"Rhinoncus pericarpius"
"Sciaphilus asperatus";"Sciaphilus asperatus"
"Sitona lepidus";"Sitona lepidus"
"Sitona lineatus";"Sitona lineatus"
"Sitona sulcifrons";"Sitona sulcifrons"
"Sitona suturalis";"Sitona suturalis"
"Sitona waterhousei";"Sitona waterhousei"
"Trachyphloeus aristatus";"Trachyphloeus aristatus"
"Trichosirocalus troglodytes";"Trichosirocalus troglodytes"
"Zacladus geranii";"Zacladus geranii"
"Hadroplontus litura";"Hadroplontus litura"
"Phyllobius (Subphyllobius) parvulus";"Phyllobius parvulus"
"Adrastus rachifer";"Adrastus rachifer"
"Oedemera lurida";"Oedemera lurida"
"Oedemera virescens";"Oedemera virescens"
"Olibrus bicolor";"Olibrus bicolor"
"Catapion pubescens";"Catapion pubescens"
"Catapion seniculus";"Catapion seniculus"
"Diplapion confluens";"Diplapion confluens"
"Ischnopterapion loti";"Ischnopterapion loti"
"Ischnopterapion modestum";"Ischnopterapion modestum"
"Ischnopterapion virens";"Ischnopterapion virens"
"Apion semivittatum";"Apion semivittatum"
"Protapion apricans";"Protapion apricans"
"Protapion assimile";"Protapion assimile"
"Protapion fulvipes";"Protapion fulvipes"
"Protapion nigritarse";"Protapion nigritarse"
"Protapion trifolii";"Protapion trifolii"
"Squamapion cineraceum";"Squamapion cineraceum"
"Stenopterapion tenue";"Stenopterapion tenue"
"Bruchus luteicornis";"Bruchus luteicornis"
"Trachys scrobiculatus";"Trachys scrobiculatus"
"Ceutorhynchus erysimi";"Ceutorhynchus erysimi"
"Gymnetron labile";"Gymnetron labile"
"Gymnetron pascuorum";"Gymnetron pascuorum"
"Tychius junceus";"Tychius junceus"
"Tychius picirostris";"Tychius picirostris"
"Tychius pusillus";"Tychius pusillus"
"Tychius stephensi";"Tychius stephensi"
"Meligethes erythropus";"Meligethes erythropus"
"Meligethes aeneus";"Meligethes aeneus"
"Meligethes nigrescens";"Meligethes nigrescens"
"Olibrus affinis";"Olibrus affinis"
"Hylastinus obscurus";"Hylastinus obscurus"
"Carpelimus punctatellus";"Carpelimus punctatellus"
"Corylophus cassidioides";"Corylophus cassidioides"
"Sericoderus lateralis";"Sericoderus lateralis"
"Atomaria fuscata";"Atomaria fuscata"
"Atomaria linearis";"Atomaria linearis"
"Cryptophagus pilosus";"Cryptophagus pilosus"
"Cryptophagus schmidti";"Cryptophagus schmidti"
"Atomaria punctithorax";"Atomaria punctithorax"
"Megasternum boletophagum";"Megasternum boletophagum"
"Corticarina fuscula";"Corticarina fuscula"
"Cortinicara gibbosa";"Cortinicara gibbosa"
"Enicmus histrio";"Enicmus histrio"
"Enicmus transversus";"Enicmus transversus"
"Lathridius lardarius";"Lathridius lardarius"
"Liocyrtusa minuta";"Liocyrtusa minuta"
"Acrotona parvula";"Acrotona parvula"
"Atheta fungi";"Atheta fungi"
"Atheta laticollis";"Atheta laticollis"
"Atheta myrmecobia";"Atheta myrmecobia"
"Atheta oblita";"Atheta oblita"
"Atheta orbata";"Atheta orbata"
"Bledius gallicus";"Bledius gallicus"
"Eurygaster testudinaria";"Eurygaster testudinaria"
"Lepyrus capucinus";"Lepyrus capucinus"
"Anthicus antherinus";"Anthicus antherinus"
"Paratachys bistriatus";"Paratachys bistriatus"
"Atomaria analis";"Atomaria analis"
"Atomaria atricapilla";"Atomaria atricapilla"
"Atomaria basalis";"Atomaria basalis"
"Atomaria sp1";"Atomaria"
"Atomaria sp2";"Atomaria"
"Megasternum obscurum";"Megasternum obscurum"
"Liocyrtusa pauxilla";"Liocyrtusa pauxilla"
"Aleuonota gracilenta";"Aleuonota gracilenta"
"Amischa analis";"Amischa analis"
"Amischa decipiens";"Amischa decipiens"
"Anaulacaspis nigra";"Anaulacaspis nigra"
"Anotylus hamatus";"Anotylus hamatus"
"Falagria thoracica";"Falagria thoracica"
"Falagrioma thoracica";"Falagrioma thoracica"
"Oxypoda brachyptera";"Oxypoda brachyptera"
"Oxypoda exoleta";"Oxypoda exoleta"
"Oxypoda formiceticola";"Oxypoda formiceticola"
"Stenus nanus";"Stenus nanus"
"Tachyporus atriceps";"Tachyporus atriceps"
"Tachyporus tersus";"Tachyporus tersus"
"Pelecopsis parallela";"Pelecopsis parallela"
"Troxochrus scabriculus";"Troxochrus scabriculus"
"Atomaria nigriventris";"Atomaria nigriventris"
"Acrotrichis sitkaensis";"Acrotrichis sitkaensis"
"Hypocyphthus longicornis";"Hypocyphthus longicornis"
"Oligota pumilio";"Oligota pumilio"
"Oligota pusillima";"Oligota pusillima"
"Acrotrichis fascicularis";"Acrotrichis fascicularis"
